
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач_1_терминалом Количество_решенных_задач_2_терминалом Количество_решенных_задач_3_терминалом
3 0 Активен Не_активен Не_активен 0 0 0
6 0 Активен Не_активен Не_активен 0 0 0
9 0 Активен Не_активен Не_активен 0 0 0
12 0 Активен Не_активен Не_активен 0 0 0
15 0 Активен Не_активен Не_активен 0 0 0
18 0 Активен Не_активен Не_активен 0 0 0
21 0 Активен Не_активен Не_активен 0 0 0
24 0 Активен Не_активен Не_активен 0 0 0
27 0 Активен Не_активен Не_активен 0 0 0
30 0 Активен Не_активен Не_активен 0 0 0
33 0 Активен Не_активен Не_активен 0 0 0
36 0 Активен Не_активен Не_активен 0 0 0
39 0 Активен Не_активен Не_активен 0 0 0
42 0 Активен Не_активен Не_активен 0 0 0
45 0 Активен Не_активен Не_активен 0 0 0
48 1 Не_активен Активен Не_активен 1 0 0
51 1 Не_активен Активен Не_активен 1 0 0
54 1 Не_активен Активен Не_активен 1 0 0
57 1 Не_активен Активен Не_активен 1 0 0
60 3 Не_активен Активен Не_активен 1 0 0
63 3 Не_активен Активен Не_активен 1 0 0
66 3 Не_активен Активен Не_активен 1 0 0
69 4 Не_активен Не_активен Активен 1 1 0
72 4 Не_активен Не_активен Активен 1 1 0
75 4 Не_активен Не_активен Активен 1 1 0
78 4 Не_активен Не_активен Активен 1 1 0
81 4 Не_активен Не_активен Активен 1 1 0
84 4 Не_активен Не_активен Активен 1 1 0
87 4 Не_активен Не_активен Активен 1 1 0
90 7 Активен Не_активен Не_активен 1 1 1
93 7 Активен Не_активен Не_активен 1 1 1
96 7 Активен Не_активен Не_активен 1 1 1
99 7 Активен Не_активен Не_активен 1 1 1
102 7 Активен Не_активен Не_активен 1 1 1
105 7 Активен Не_активен Не_активен 1 1 1
108 7 Активен Не_активен Не_активен 1 1 1
111 8 Не_активен Активен Не_активен 2 1 1
114 8 Не_активен Активен Не_активен 2 1 1
117 8 Не_активен Активен Не_активен 2 1 1
120 9 Не_активен Активен Не_активен 2 1 1
123 9 Не_активен Активен Не_активен 2 1 1
126 9 Не_активен Активен Не_активен 2 1 1
129 9 Не_активен Активен Не_активен 2 1 1
132 10 Не_активен Не_активен Активен 2 2 1
135 10 Не_активен Не_активен Активен 2 2 1
138 10 Не_активен Не_активен Активен 2 2 1
141 10 Не_активен Не_активен Активен 2 2 1
144 10 Не_активен Не_активен Активен 2 2 1
147 10 Не_активен Не_активен Активен 2 2 1
150 12 Не_активен Не_активен Активен 2 2 1
153 13 Активен Не_активен Не_активен 2 2 2
156 13 Активен Не_активен Не_активен 2 2 2
159 13 Активен Не_активен Не_активен 2 2 2
162 13 Активен Не_активен Не_активен 2 2 2
165 13 Активен Не_активен Не_активен 2 2 2
168 13 Активен Не_активен Не_активен 2 2 2
171 13 Активен Не_активен Не_активен 2 2 2
174 14 Не_активен Активен Не_активен 3 2 2
177 14 Не_активен Активен Не_активен 3 2 2
180 15 Не_активен Активен Не_активен 3 2 2
183 15 Не_активен Активен Не_активен 3 2 2
186 15 Не_активен Активен Не_активен 3 2 2
189 15 Не_активен Активен Не_активен 3 2 2
192 15 Не_активен Активен Не_активен 3 2 2
195 16 Не_активен Не_активен Активен 3 3 2
198 16 Не_активен Не_активен Активен 3 3 2
