
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 0 Не_активен Не_активен Не_активен 0 0
6 0 Не_активен Не_активен Не_активен 0 0
9 0 Не_активен Не_активен Не_активен 0 0
12 0 Не_активен Не_активен Не_активен 0 0
15 0 Не_активен Не_активен Не_активен 0 0
18 0 Не_активен Не_активен Не_активен 0 0
21 0 Не_активен Не_активен Не_активен 0 0
24 0 Не_активен Не_активен Не_активен 0 0
27 0 Не_активен Не_активен Не_активен 0 0
30 0 Активен Не_активен Не_активен 0 0
33 0 Активен Не_активен Не_активен 0 0
36 0 Активен Не_активен Не_активен 0 0
39 1 Не_активен Активен Не_активен 0 1
42 2 Не_активен Не_активен Активен 0 2
45 3 Не_активен Не_активен Не_активен 0 3
48 4 Не_активен Не_активен Не_активен 0 4
51 5 Не_активен Не_активен Не_активен 0 5
54 6 Не_активен Не_активен Не_активен 1 5
57 7 Не_активен Не_активен Не_активен 2 5
60 7 Не_активен Активен Не_активен 2 5
63 7 Не_активен Активен Не_активен 2 5
66 7 Не_активен Активен Не_активен 2 5
69 8 Не_активен Не_активен Активен 2 6
72 9 Активен Не_активен Не_активен 2 7
75 10 Не_активен Не_активен Не_активен 2 8
78 11 Не_активен Не_активен Не_активен 3 8
81 12 Не_активен Не_активен Не_активен 4 8
84 13 Не_активен Не_активен Не_активен 5 8
87 14 Не_активен Не_активен Не_активен 6 8
90 14 Не_активен Не_активен Активен 6 8
93 14 Не_активен Не_активен Активен 6 8
96 14 Не_активен Не_активен Активен 6 8
99 15 Активен Не_активен Не_активен 6 9
102 16 Не_активен Активен Не_активен 6 10
105 17 Не_активен Не_активен Не_активен 6 11
108 18 Не_активен Не_активен Не_активен 7 11
111 19 Не_активен Не_активен Не_активен 8 11
114 20 Не_активен Не_активен Не_активен 9 11
117 21 Не_активен Не_активен Не_активен 10 11
120 21 Активен Не_активен Не_активен 10 11
123 21 Активен Не_активен Не_активен 10 11
126 21 Активен Не_активен Не_активен 10 11
129 22 Не_активен Активен Не_активен 10 12
132 23 Не_активен Не_активен Активен 10 13
135 24 Не_активен Не_активен Не_активен 10 14
138 25 Не_активен Не_активен Не_активен 11 14
141 26 Не_активен Не_активен Не_активен 12 14
144 27 Не_активен Не_активен Не_активен 13 14
147 28 Не_активен Не_активен Не_активен 14 14
150 28 Не_активен Активен Не_активен 14 14
153 28 Не_активен Активен Не_активен 14 14
